Ligand,Score
CNP0173310.3,SKIPPED
CNP0469526.0,SKIPPED
CNP0219326.1,SKIPPED
CNP0395094.1,SKIPPED
CNP0183725.0,SKIPPED
CNP0271464.2,SKIPPED
CNP0579611.2,SKIPPED
CNP0172778.1,SKIPPED
CNP0122974.1,SKIPPED
CNP0369875.1,SKIPPED
CNP0225528.1,SKIPPED
CNP0509203.0,SKIPPED
CNP0582259.0,SKIPPED
CNP0368637.1,SKIPPED
CNP0398964.1,SKIPPED
CNP0017297.1,SKIPPED
CNP0206347.1,SKIPPED
CNP0108425.0,SKIPPED
CNP0080460.1,SKIPPED
CNP0355269.2,SKIPPED
CNP0258423.1,SKIPPED
CNP0469340.2,SKIPPED
CNP0341958.0,SKIPPED
CNP0283559.3,SKIPPED
CNP0398964.2,SKIPPED
CNP0114518.1,SKIPPED
CNP0227054.3,SKIPPED
CNP0568837.0,SKIPPED
CNP0381378.2,SKIPPED
CNP0589433.0,SKIPPED
CNP0365841.1,SKIPPED
CNP0173310.3,SKIPPED
CNP0095827.1,SKIPPED
CNP0225918.1,SKIPPED
CNP0283559.1,SKIPPED
CNP0553487.0,SKIPPED
CNP0469526.0,SKIPPED
CNP0219326.1,SKIPPED
CNP0579611.2,SKIPPED
CNP0183725.0,SKIPPED
CNP0172778.1,SKIPPED
CNP0271464.2,SKIPPED
CNP0395094.1,SKIPPED
CNP0273999.4,FAILED
CNP0149616.2,FAILED
CNP0550514.1,FAILED
CNP0291444.2,FAILED
CNP0484156.1,FAILED
CNP0214958.2,FAILED
CNP0423789.4,FAILED
CNP0284142.0,FAILED
CNP0018679.0,FAILED
CNP0552666.1,FAILED
CNP0542466.0,FAILED
CNP0484523.0,FAILED
CNP0330128.12,FAILED
CNP0354594.1,FAILED
CNP0375652.3,FAILED
CNP0297580.1,FAILED
CNP0194094.4,FAILED
CNP0189411.5,FAILED
CNP0602983.3,FAILED
CNP0513413.1,FAILED
CNP0262174.4,FAILED
CNP0180659.0,FAILED
CNP0535820.0,FAILED
CNP0304586.0,FAILED
CNP0199894.1,FAILED
CNP0326792.1,FAILED
CNP0245328.2,FAILED
CNP0427954.1,FAILED
CNP0424915.1,FAILED
CNP0207110.4,FAILED
CNP0168409.1,FAILED
CNP0247053.3,FAILED
CNP0207812.1,FAILED
CNP0263187.5,FAILED
CNP0456761.1,FAILED
CNP0456645.1,FAILED
CNP0425913.1,FAILED
CNP0564906.0,FAILED
CNP0295396.2,FAILED
CNP0181701.0,FAILED
CNP0555957.1,FAILED
CNP0030609.1,FAILED
CNP0026622.1,FAILED
CNP0222449.2,FAILED
CNP0187115.15,FAILED
CNP0362028.5,FAILED
CNP0178442.2,FAILED
CNP0408461.1,FAILED
CNP0400947.2,FAILED
CNP0204372.1,FAILED
CNP0281413.1,FAILED
CNP0169553.2,FAILED
CNP0523355.0,FAILED
CNP0512708.0,0
CNP0510391.1,FAILED
CNP0583697.0,FAILED
CNP0448289.3,FAILED
CNP0592105.1,SKIPPED
CNP0102161.1,SKIPPED
CNP0580247.1,SKIPPED
CNP0239557.7,SKIPPED
CNP0059757.1,SKIPPED
CNP0045771.1,SKIPPED
CNP0059872.1,SKIPPED
CNP0512708.0,SKIPPED
CNP0592001.0,SKIPPED
CNP0599960.1,SKIPPED
CNP0501825.1,SKIPPED
CNP0489957.1,SKIPPED
CNP0022094.1,SKIPPED
CNP0450094.2,SKIPPED
CNP0058972.1,SKIPPED
CNP0548577.0,SKIPPED
CNP0038810.1,SKIPPED
CNP0063179.1,SKIPPED
CNP0306707.1,SKIPPED
CNP0523355.0,FAILED
CNP0536258.1,SKIPPED
CNP0450094.1,SKIPPED
CNP0510391.1,FAILED
CNP0043908.1,SKIPPED
CNP0023997.1,SKIPPED
CNP0239557.1,SKIPPED
CNP0239557.5,SKIPPED
CNP0516334.0,SKIPPED
CNP0318784.1,SKIPPED
CNP0102161.2,SKIPPED
CNP0595454.0,SKIPPED
CNP0482117.1,SKIPPED
CNP0448289.3,FAILED
CNP0060543.1,SKIPPED
CNP0583697.0,FAILED
CNP0190578.2,FAILED
CNP0598363.2,FAILED
CNP0531559.0,FAILED
CNP0500155.0,FAILED
CNP0396866.1,FAILED
CNP0389395.2,FAILED
