identifier,Score,BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD
CNP0490188.1,-10.7,0.9124402098595576,2.70805020110221,1.7201499368499318,3.7416573867739418,2.1972245773362196,15.307057732662134,7.708238778159993,2.4662120743304703,,1
CNP0490211.1,-10.6,1.0606648924484567,1.791759469228055,1.6414772661787171,1.7320508075688772,2.0794415416798357,10.854399597565306,6.055048946511104,1.8171205928321397,,2
CNP0490327.1,-8.498,0.9839077470662602,2.4849066497880004,1.653773726254152,2.8284271247461903,2.1972245773362196,13.544646185532123,7.318611420045943,2.5198420997897464,0.6931471805599453,5
CNP0490483.1,-6.8,1.6200254005845196,,1.1125985306428496,0.0,0.0,11.098529338023932,6.0,0.0,1.0986122886681098,0
CNP0490502.1,-9.8,1.1258399435607267,1.6094379124341005,1.6721365066496643,2.0,1.3862943611198906,10.717087711721543,5.656652825822911,1.8171205928321397,,3
CNP0490548.1,-10.7,0.9220656648067752,2.833213344056216,1.7235968177970926,3.872983346207417,2.8903717578961645,14.781696106195833,7.84059484588363,2.924017738212866,0.0,3
CNP0490572.1,-9.8,0.9862488074584158,2.1972245773362196,1.6427238900675671,2.8284271247461903,2.3978952727983707,13.448921942986852,6.952053289772899,2.41014226417523,0.0,7
CNP0490588.1,-8.6,1.1573274248383387,1.0986122886681098,1.5184661342283736,0.0,1.0986122886681098,8.821720098084375,4.717693980316533,1.8171205928321397,,2
CNP0490751.4,-9.8,1.0823019260273397,1.791759469228055,1.6796421711073488,2.0,0.6931471805599453,10.652606137827512,5.614672408001491,1.8171205928321397,,0
CNP0490759.2,-5.511,1.5986470685916163,,1.1319487089357014,0.0,0.6931471805599453,9.663666751456152,5.677411370845433,0.0,1.0986122886681098,0
CNP0490764.1,-10.0,0.8940006901503685,2.4849066497880004,1.6903851882380638,2.23606797749979,3.688879454113936,14.25748813881461,8.208082453158825,1.8171205928321397,0.0,19
CNP0490793.0,-9.4,1.0631363019086304,1.3862943611198906,1.3981288187668937,0.0,0.0,11.233788667537636,5.539658256754464,1.8171205928321397,0.6931471805599453,3
CNP0490806.1,-6.6,1.6184032149943517,,1.1298648321722142,0.0,0.0,9.918230723077588,5.798889997648997,0.0,1.0986122886681098,0
CNP0490874.0,-10.1,1.1266076137928092,1.3862943611198906,1.5964507169072892,2.0,,11.484622670421835,5.348481241239363,1.8171205928321397,,3
CNP0491104.1,-6.444,1.6204799578521885,,1.1115156935040176,0.0,0.0,11.241807710227926,6.1622401477490385,0.0,1.0986122886681098,0
CNP0491168.1,-7.0,1.6207005650441226,,1.115419406984491,0.0,0.0,10.67433533750229,5.646216173286171,0.0,1.0986122886681098,0
CNP0491234.2,-10.8,1.0791887870916204,1.791759469228055,1.6643145226599347,1.7320508075688772,1.791759469228055,10.981702496059878,5.905940583624489,1.8171205928321397,,2
CNP0491320.1,-6.3,1.6210066188630463,,1.129009765852481,0.0,0.0,9.37521728102933,5.506878446387353,0.0,1.0986122886681098,0
CNP0491333.2,-5.4,1.625615170948465,,1.120591195386885,0.0,0.0,9.664214104614636,5.687733959703131,0.0,1.0986122886681098,0
CNP0491340.2,-6.6,1.625948477852059,,1.1239300966523995,0.0,0.0,9.208425018464611,5.4288352331898135,0.0,1.0986122886681098,0
CNP0491363.0,-9.3,1.1559251231076897,1.0986122886681098,1.4412101187160054,0.0,,10.338328640677927,5.078753078132701,1.8171205928321397,,3
