identifier,Score,RingCount_x_RadiusOfGyration,RingCount_x_Asphericity,Avg_EState_x_BalabanIndex,TPSA_x_SSSR_count,PMI2_x_Fused_ring_count,PMI_Ratio2_x_BalabanIndex,Asphericity_x_Fused_ring_count,Eccentricity_x_PathComplexityIndex,Largest_ring_size_x_TotalPathCount,BertzCTIndex_x_PathComplexityIndex,partial_charge_min_x_BalabanIndex,SSSR_count_x_BalabanIndex,Max_EState_x_PathComplexityIndex,RingCount_x_StereocenterCount,BalabanIndex_x_GraphDistanceDistributionEntropy,BalabanIndex_x_PathComplexityIndex,RadiusOfGyration_x_Largest_ring_size,Max_EState_x_Bridged_ring_count,HBD_x_SSSR_count,RingCount_x_Min_EState,RingCount_x_BondInformationContent,StereocenterCount_x_Fused_ring_count,partial_charge_max_x_BalabanIndex,RingCount_x_DoubleBondCount,partial_charge_min_x_PathComplexityIndex,Asphericity_x_Largest_ring_size,HBD_x_Fused_ring_count,PMI_Ratio2_x_TotalPathCount,RotatableBonds_x_SSSR_count,PMI_Ratio1_x_BalabanIndex
CNP0458111.2,-7.704,11.02307754682959,0.9155244170946296,3.764057665657551,179.85000000000002,6578.518735254696,1.4266315574064852,0.6103496113964196,4.46471787558159,654,3385.6728866995286,-0.3393590703808081,5.092548606477863,46.45251340245833,3,5.446173581166439,8.044750697189668,22.04615509365918,19.603812995532873,6,0.4376487867491661,2.9965366079856053,2,0.2696541832486476,0,-0.9474235926086956,1.831048834189259,4,91.60610046578816,12,0.5692486174151599
CNP0458246.0,-7.2,9.839136679577448,0.866819986900793,4.565342815774596,179.04000000000002,0.0,1.80243112155446,0.0,4.053623538427785,804,3509.7605106077535,-0.7534640655285286,3.8304988519827634,55.07974406453805,0,7.176552108958027,8.020106971338912,29.517410038732343,0.0,0,-6.994445564461096,2.468777768166482,0,0.946670367293756,4,-1.64737330375,2.600459960702379,0,126.10669242899148,30,0.4804142109740268
CNP0458249.0,-9.2,10.119103287181485,1.454562625889032,5.80387690509892,318.96,0.0,1.727764624995793,0.0,4.4570791857148615,672,4820.418171933939,-0.5831449064834853,3.744436712967045,50.59325384539775,0,6.507764651699361,8.387538237046181,30.35730986154445,0.0,6,-8.826727261318258,3.0040705519689923,0,1.0572962810713369,10,-1.395397696,4.363687877667096,0,103.35847703308848,8,0.189143451230036
CNP0458293.3,-8.3,15.070533540182485,0.1604404026484854,4.860954676333483,373.0,10281.484041394951,1.791143013074198,0.1604404026484854,3.978262336232429,846,4483.87353449428,-0.5305015786751847,9.53647783912836,71.45627226237717,10,5.0464507570238855,11.205361460975825,18.084640248218975,60.813848733938016,10,-5.2771707294028705,6.529017817393625,10,0.4254439242082109,10,-1.63409218125,0.1925284831781825,10,132.41322902635991,10,1.4034721063025053
CNP0458314.4,-10.05,29.141726517580437,3.0082422941156217,2.6682237527596335,279.65999999999997,26117.31456844159,1.0989616467301548,1.5041211470578109,5.305346219755354,1074,6365.587556354798,-0.3216825953290309,7.423535874188397,74.14741528331311,24,4.444753677253912,6.711176371109712,29.141726517580437,41.00890565948602,0,-1.7681294091710755,7.913816791811904,12,0.2274630780138318,18,-1.4102856727272726,3.0082422941156217,0,158.9922684541785,30,0.257629743786342
CNP0458723.1,-9.509,82.64068086378093,3.143265004297282,2.0186486577450595,2186.2799999999997,381100.59839513514,0.7690793514125162,2.619387503581068,4.833070409906749,6496,16019.891376622449,-0.2575492665031984,11.08184834984971,80.791074670786,108,3.966734189360784,4.806870117563015,110.18757448504124,155.21437990939182,48,-15.94694422021722,13.850965818753586,90,0.2007879376716583,48,-1.4516462333333335,4.191020005729709,40,338.1163937451458,132,0.3428724747508266
CNP0458781.4,-10.3,33.68195810205383,3.280005838941572,3.008272577224717,261.66,53163.12022191528,1.164809015899341,2.811433576235633,5.60078252805356,1104,7559.861621012743,-0.3397243193075859,9.417201111312156,79.3736713041698,28,4.552028394234727,7.7355580557206975,28.870249801760423,82.82470049130762,0,-2.8728141534391556,8.741345767766926,24,0.2468509402277143,14,-1.4520135749999998,2.811433576235633,0,159.3120922814517,14,0.3044939730628034
CNP0458822.1,-9.3,17.08145845689384,2.1060261696759386,2.9524353309885703,352.68,0.0,1.1899865550067144,0.0,4.618131875703325,678,3733.756264233332,-0.3232138351668353,5.314383595779427,47.41878397667798,8,4.555578927372415,6.2554723575320335,25.62218768534076,0.0,4,-1.6390585369950477,3.8038241938198896,0,0.1969705864193,0,-1.1454186145833334,3.1590392545139077,0,101.21097078694191,16,0.258815940379733
CNP0458846.4,-11.7,33.30717909364887,4.622088261021593,2.621162308253384,403.83,50513.33388164866,1.0709911169834772,3.9617899380185086,5.596850700541265,1050,7272.434058833107,-0.3303801118743983,7.936635640339315,74.83034025533617,28,4.08306968878847,6.4005126131768675,28.549010651699035,79.53396164281445,0,-4.154995909673942,9.72748638099383,24,0.2039232245217725,28,-1.6449467661290325,3.9617899380185086,0,165.3048190389989,14,0.1480148331245061
CNP0458930.6,-10.8,39.86443353308516,1.370926546852964,2.85959909030022,808.48,41171.31579258,0.7611131082507784,0.8568290917831024,4.673487800626386,1326,8176.386355994563,-0.302943600111922,9.332820911626593,75.11890001209379,32,4.355918884679144,6.288272626431333,29.89832514981387,69.68042761302817,0,-7.55067439321408,11.311544852638145,20,0.247743172576839,48,-1.3997396146341463,1.028194910139723,0,144.18448485505618,48,0.5812724674796156
CNP0459157.2,-7.6,6.998230843462502,0.4711982375016852,4.968052981777347,108.74,0.0,1.4063257317596105,0.0,3.703810410122707,486,2331.5802056039192,-0.5500750222253941,3.896512142570468,50.88785586734693,2,5.894227712331131,7.890437088705197,20.994692530387507,0.0,2,-1.7651985176786735,2.6254887062187486,0,0.4260859601799269,4,-1.143486153,1.4135947125050556,0,58.46889736490452,12,0.7881440587888807
CNP0459454.1,-8.9,14.700645063880245,0.1986775436503086,4.4342856350475035,601.32,18344.546325075917,1.3908094004832872,0.1324516957668724,3.219179416993486,1056,4577.111495012633,-0.5283162754196601,5.2709433020375975,59.844041454214135,18,6.905220337650371,7.362587469512834,29.40129012776049,28.561928875874926,18,-2.838223265450313,3.1793570319851163,12,0.3079084078412447,15,-1.2600572495238096,0.3973550873006172,12,139.3199132252661,45,1.1248087782739573
