Ligand,BestScore_kcal_per_mol
minimized_CNP0210563.5,-13.587
minimized_CNP0211194.0,-12.861
minimized_CNP0212184.1,-12.568
minimized_CNP0213055.1,-12.43
minimized_CNP0213332.1,-13.81
minimized_CNP0213332.11,-12.493
minimized_CNP0213332.12,-12.722
minimized_CNP0213332.2,-14.172
minimized_CNP0213332.3,-12.716
minimized_CNP0213332.4,-12.598
minimized_CNP0213332.5,-13.417
minimized_CNP0213332.6,-13.261
minimized_CNP0213332.7,-13.148
minimized_CNP0213563.0,-12.896
minimized_CNP0214069.1,-13.749
minimized_CNP0214069.2,-13.515
minimized_CNP0214193.1,-12.59
minimized_CNP0214193.4,-12.113
minimized_CNP0376228.1,-10.993
minimized_CNP0376228.2,-10.557
minimized_CNP0380042.1,-13.321
minimized_CNP0383458.1,-12.287
minimized_CNP0384769.0,-12.185
minimized_CNP0386461.0,-12.551
minimized_CNP0387900.2,-11.758
minimized_CNP0389765.1,-12.467
minimized_CNP0389968.1,-13.092
minimized_CNP0394131.1,-11.831
minimized_CNP0398157.1,-13.147
minimized_CNP0398964.3,-7.185
minimized_CNP0400872.0,-12.615
minimized_CNP0403720.1,-11.509
minimized_CNP0403720.2,-12.765
minimized_CNP0409471.1,-13.229
minimized_CNP0411203.4,-12.35
minimized_CNP0411203.5,-12.541
minimized_CNP0413252.1,-10.073
minimized_CNP0413252.10,-11.122
minimized_CNP0413252.2,-9.117
minimized_CNP0413252.3,-11.217
minimized_CNP0413252.4,-10.48
minimized_CNP0413252.5,-10.018
minimized_CNP0413252.6,-10.721
minimized_CNP0413252.7,-9.158
minimized_CNP0413252.8,-10.811
minimized_CNP0413252.9,-10.219
minimized_CNP0413769.2,-12.262
minimized_CNP0413769.3,-13.631
minimized_CNP0414994.1,-12.902
minimized_CNP0417684.1,-10.063
minimized_CNP0417684.2,-9.857
minimized_CNP0418012.1,-12.57
minimized_CNP0418012.2,-12.629
minimized_CNP0418992.1,-11.146
minimized_CNP0420705.1,-13.226
minimized_CNP0424077.1,-14.407
minimized_CNP0424393.1,-13.237
minimized_CNP0424583.1,-12.812
minimized_CNP0427395.1,-12.904
minimized_CNP0427510.1,-13.948
minimized_CNP0429931.1,-14.244
minimized_CNP0430564.1,-12.631
minimized_CNP0430708.1,-13.352
minimized_CNP0431091.1,-12.61
minimized_CNP0436073.1,-7.321
minimized_CNP0439266.1,-13.654
minimized_CNP0439266.2,-13.409
minimized_CNP0443759.1,-7.879
minimized_CNP0461379.1,-13.158
minimized_CNP0461379.2,-13.926
minimized_CNP0480210.1,-11.868
minimized_CNP0481710.1,-11.585
minimized_CNP0481710.2,-11.51
minimized_CNP0484741.1,-10.881
minimized_CNP0484741.2,-12.671
minimized_CNP0486176.1,-10.77
minimized_CNP0490429.1,-12.142
minimized_CNP0493932.1,-9.833
minimized_CNP0495063.1,-12.812
minimized_CNP0496129.1,-11.467
minimized_CNP0497568.1,-12.896
minimized_CNP0508227.1,-12.422
minimized_CNP0515158.1,-8.023
minimized_CNP0515535.1,-13.774
minimized_CNP0518218.1,-12.545
minimized_CNP0524073.2,-12.629
minimized_CNP0528149.1,-7.828
minimized_CNP0528372.1,-9.776
minimized_CNP0529618.1,-10.157
minimized_CNP0531412.1,-10.222
minimized_CNP0531412.2,-9.905
minimized_CNP0531993.1,-12.284
minimized_CNP0534862.1,-9.279
minimized_CNP0535248.1,-8.09
minimized_CNP0535248.2,-7.355
minimized_CNP0538100.1,-12.165
minimized_CNP0539545.1,-13.041
minimized_CNP0540933.1,-12.009
minimized_CNP0545248.1,-13.931
minimized_CNP0547899.0,-12.322
minimized_CNP0548649.1,-11.832
minimized_CNP0548649.2,-10.902
minimized_CNP0549660.1,-11.784
minimized_CNP0549660.2,-11.806
minimized_CNP0552121.1,-9.98
minimized_CNP0552121.2,-9.796
minimized_CNP0557905.1,-10.65
minimized_CNP0560411.1,-13.295
minimized_CNP0561828.1,-9.476
minimized_CNP0564211.1,-12.275
minimized_CNP0569620.1,-10.749
minimized_CNP0569620.2,-12.129
minimized_CNP0572972.1,-10.51
minimized_CNP0572972.2,-13.241
minimized_CNP0572972.3,-11.842
minimized_CNP0572972.4,-12.81
minimized_CNP0576093.1,-9.361
minimized_CNP0576093.2,-11.002
minimized_CNP0579111.1,-8.574
minimized_CNP0582361.1,-10.12
minimized_CNP0582361.2,-9.753
minimized_CNP0586463.0,-13.291
minimized_CNP0586769.2,-12.948
minimized_CNP0588664.1,-13.251
minimized_CNP0589980.1,-11.038
minimized_CNP0590390.1,-9.8
minimized_CNP0590724.1,-11.589
minimized_CNP0590724.2,-11.724
minimized_CNP0591331.1,-11.961
minimized_CNP0597014.1,-12.238
minimized_CNP0599667.1,-13.139
minimized_CNP0600437.0,-13.12
minimized_CNP0601335.1,-9.377
minimized_CNP0601926.1,-13.157
minimized_CNP0604312.1,-9.289
minimized_CNP0604312.2,-8.199
