dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,model
raw_descs_and_transforms.csv,0.5264426368917985,0.0116598387345079,0.4875197490328653,0.0122408850528124,0.6981688471374634,0.0087659298875887,0.8339571177984988,0.004560609800312,6.160487383870824,0.1758866801860816,support_vector_regression
ratios_only.csv,0.4632485363445278,0.0088717377903679,0.3963262400764352,0.0140483832243073,0.629440048356911,0.0112365280709635,0.8649256218250617,0.0068514340102915,5.518670236355481,0.1130770618597207,support_vector_regression
interactions_only.csv,0.4737680511594729,0.0073709494949367,0.3948734161243669,0.014924179904365,0.628272456843207,0.0118873675447332,0.8654396823348269,0.0067158680563863,5.638745170899972,0.0997549750670374,support_vector_regression
transformations_only.csv,0.5221397799730408,0.0087250066591343,0.4920594559095675,0.0143965515102457,0.7013910335079168,0.0102817845193888,0.832395607879161,0.0056340568010208,6.100458573373684,0.122327768592666,support_vector_regression
all_4_combined.csv,0.4601163501948113,0.0109039111953902,0.3869077601258218,0.0176733032233929,0.6218504437177355,0.0141943036895685,0.8681257854192894,0.0078459830142022,5.475935247343611,0.1299696309770921,support_vector_regression
interactions_and_ratios.csv,0.4609026732469592,0.0112834562741462,0.388087503725375,0.0187965260676476,0.6227774540488538,0.0150469563112408,0.8677181115638852,0.0082370208199216,5.480582069488919,0.1316276524890316,support_vector_regression
descriptors_only.csv,0.5185922643462546,0.0082670093039821,0.4673377803345493,0.0150119391869012,0.6835289139102967,0.011000655321685,0.8408390590176719,0.0051354653148496,6.075301087213048,0.1352631788011589,lightgbm
raw_descs_and_ratios.csv,0.4496754468983973,0.0065477409655094,0.357945846963383,0.0154917735883995,0.5981403271079294,0.0129269411307679,0.878059864344954,0.0059371695681939,5.301505444523162,0.0835250356934109,lightgbm
raw_descs_and_interactions.csv,0.4626292310565817,0.0077486444791529,0.377683715616404,0.0133272898270179,0.6144598050930584,0.0108626951151721,0.8713300169438807,0.0055606094029147,5.4692196644596835,0.1160495073521208,lightgbm
transforms_and_interactions.csv,0.4626292310565817,0.0077486444791529,0.377683715616404,0.0133272898270179,0.6144598050930584,0.0108626951151721,0.8713300169438807,0.0055606094029147,5.4692196644596835,0.1160495073521208,lightgbm
transforms_and_ratios.csv,0.4467005365656601,0.0075629844172826,0.3553044180957486,0.0146731110349008,0.5959417410602856,0.0123129252095466,0.8789666427481035,0.0055582739433632,5.261380583355974,0.1063620690901911,lightgbm
raw_descs_and_transforms.csv,0.523083835914153,0.0078447004087682,0.4733628047441685,0.0116100327092684,0.6879593643613096,0.0084710630722459,0.8387727886911991,0.0045107016211155,6.130808434287518,0.1258697986109558,lightgbm
ratios_only.csv,0.4481875617269119,0.0078787565311918,0.3569569829186457,0.0142566968504026,0.5973343181844378,0.0119501843652033,0.8784016138780114,0.0054789360443571,5.279414117199397,0.1142448372825292,lightgbm
