identifier,canonical_smiles
CNP0126427.1,CC(=O)CNC1=C2C(CCC3(CCN=C(N)N)C4C(CC#CC(C5COC(=O)C5)CC56CCC(O)(CC(C)C5CC=C5CCC(C)CC56)C4(C)O)CC23O)C2(C)CC(O)C(O)CC2C1=O
CNP0126428.0,CCCCOC(=O)COc1cc(OCC(=O)OCCCC)c2c(=O)cc(-c3ccccc3)oc2c1
CNP0126429.1,Cc1cncc2c1CC(=O)NC2C
CNP0126430.1,CN(C)C(=O)CN1C(=O)COC(c2ccc(NC(=O)C3CCC3)cc2)C1CO
CNP0126431.1,C=CC1(C)CC(O)C2C(C)(O1)C(=O)CC1C(C)(C)C(OC(=O)C(C)=CC)CC(OC(=O)C3(C)OC3C)C21C
CNP0126432.0,CON=C(c1cc2ccccc2o1)c1cc2ccccc2o1
CNP0126434.0,C=CCn1cccc1
CNP0126435.1,COc1ccc(S(=O)(=O)N2CC3CC(C2)c2ccc(-c4ccc(NC(C)=O)cc4)c(=O)n2C3)cc1
CNP0126436.1,CC(C)=CC(=O)OC1CCC(C)C2(C)C(OC(=O)C=C(C)C)c3c(C)coc3CC12
CNP0126437.1,C=CCCCCCOC(=O)C(C)CCCC(C)CCCC(C)CCC(=O)O
CNP0126438.1,CCCC(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C1=C2CCC=CC2C(=O)O1
CNP0126439.0,C=CCCCCC=CC=CC#CC=CC(O)CC
CNP0126440.0,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC(OC5OC(CO)C(O)C(OC6OC(C)C(O)C(O)C6O)C5O)C5(C)CC(O)CCC5(C)C4CCC3(C)C2C1C
CNP0126441.1,C=C1C2CC3(C1O)C(C1OC21)C12CCCC(C)(C)C1C(OC(C)=O)C3(O)OC2
CNP0126441.2,C=C1C2CC3(C1O)C(C1OC21)C12CCCC(C)(C)C1C(OC(C)=O)C3(O)OC2
CNP0126442.1,CC1CCC2(C)CCC3(CO)C(=CCC4C5(C)CCC(OC6OC(C)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OS(=O)(=O)O)C(C)(C)C5CCC43C)C2C1C
CNP0126442.2,CC1CCC2(C)CCC3(CO)C(=CCC4C5(C)CCC(OC6OC(C)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OS(=O)(=O)O)C(C)(C)C5CCC43C)C2C1C
CNP0126443.1,CC(=CCOc1c2ccoc2cc2oc(=O)ccc12)CCC(OC1OC(CO)C(O)C(O)C1O)C(C)(C)O
CNP0126443.2,CC(=CCOc1c2ccoc2cc2oc(=O)ccc12)CCC(OC1OC(CO)C(O)C(O)C1O)C(C)(C)O
CNP0126443.3,CC(=CCOc1c2ccoc2cc2oc(=O)ccc12)CCC(OC1OC(CO)C(O)C(O)C1O)C(C)(C)O
CNP0126443.4,CC(=CCOc1c2ccoc2cc2oc(=O)ccc12)CCC(OC1OC(CO)C(O)C(O)C1O)C(C)(C)O
CNP0126444.0,CCCc1cc(O)cc(O)c1C(=O)Oc1c(O)cc(CCC)c(C(=O)O)c1OC
CNP0126445.1,C=C1CCC2CCc3coc(c3C2(C)C)CC(C)=CC(O)C1
CNP0126445.2,C=C1CCC2CCc3coc(c3C2(C)C)CC(C)=CC(O)C1
CNP0126445.3,C=C1CCC2CCc3coc(c3C2(C)C)CC(C)=CC(O)C1
CNP0126446.0,COc1ccc2[nH]cc(C(=O)C(=O)N3CCCCC3)c2c1
CNP0126447.1,COC1CC(OC2C(O)CC(OC3CCC4(C)C(=CCC5(O)C4CC(OC(=O)C=Cc4ccccc4)C4(C)C(C(C)=O)CCC54O)C3)OC2C)OC(C)C1OC1CC(O)C(OC2CC(OC)C(OC3OC(CO)C(O)C(O)C3O)C(C)O2)C(C)O1
CNP0126447.2,COC1CC(OC2C(O)CC(OC3CCC4(C)C(=CCC5(O)C4CC(OC(=O)C=Cc4ccccc4)C4(C)C(C(C)=O)CCC54O)C3)OC2C)OC(C)C1OC1CC(O)C(OC2CC(OC)C(OC3OC(CO)C(O)C(O)C3O)C(C)O2)C(C)O1
CNP0126448.0,COc1ccc2c(c1)OC(c1ccc(OC)c(OC)c1)CC2
CNP0126449.1,CCCCCC=CC(=O)OC1C(CO)=CC2C(=O)C3(C=C(C)C(O)C13O)C(C)CC1C2C1(C)C
CNP0126450.0,C=C1C2CC(C(=O)OCC)C3(C)C(OC(C)=O)CC=C(C)C3C(O)C3(O2)C(OC(=O)C3(C)O)C1Cl
CNP0126451.1,CC(=O)OCC1=C2CCC(C)(O)C(O)C2OC12OC(C)(C)CC2=O
CNP0126452.1,C=C(C)C(O)COc1c2occc2cc2ccc(=O)oc12
CNP0126452.2,C=C(C)C(O)COc1c2occc2cc2ccc(=O)oc12
CNP0126453.1,CC1CCCC(C)(C)C2C=C(CO)CCC12OC12CCC(CO)=CC1C(C)(C)CCCC2C
CNP0126454.0,CCC(=O)C(O)C1CN(C=O)CCc2c([nH]c3ccccc23)C(C(=O)OC)(c2cc3c(cc2OC)N(C)C2C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC32C54)C1
CNP0126455.1,CC(CCCC(C)(C)O)C1CCC2=C3CC(O)C4(O)CC(O)CCC4(C)C3CCC21C
CNP0126456.0,Cc1cc(O)cc(OC2OC(COC(=O)c3cc(O)c(O)c(O)c3)C(O)C(OC(=O)c3cc(O)c(O)c(O)c3)C2O)c1
CNP0126458.0,O=C(O)c1c(-c2nc(O)c3ccccc3n2)[nH]c2ccccc12
CNP0126459.0,CCCC#CC=CC(=O)OC
CNP0126460.1,CCCCCCC=CC=CC1CCCC2CCCN12
CNP0126460.2,CCCCCCC=CC=CC1CCCC2CCCN12
CNP0126460.3,CCCCCCC=CC=CC1CCCC2CCCN12
CNP0126461.0,CCOCCOC(C)(C)C=CCC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
CNP0126462.0,CCc1cc(=O)c2ccccc2n1C
CNP0126463.0,CC(=NO)C(C)=NO
CNP0126464.1,CC1COC2(OC3CC4(O)C5CC=C6CC(OC7OC(CO)C(O)C(O)C7OC7OC(C)C(O)C(O)C7O)CCC6(C)C5CCC4(C)C3(O)C2C)C(O)C1
CNP0126465.0,Cc1occ(C)c(=O)c1O
CNP0126466.1,CC=C(C)C(=O)OC1CC(O)C(C)(C=O)C2C(OC(C)=O)C3OC4C(=C(C)CC4c4ccoc4)C3(C)C(CC=O)C12C
CNP0126467.1,CN1CCC23C4=Nc5ccccc5C2(CCN4)C1=Nc1ccccc13
CNP0126468.0,CNC(=O)c1ccc(C)cc1
CNP0126469.0,CN(C)C(=N)N=C(N)N
CNP0126470.0,Cc1nc2sccn2c1C=O
CNP0126471.1,O=C(C=Cc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
CNP0126471.2,O=C(C=Cc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
CNP0126472.1,CC1CC2=C3C4C5=C6CC(Cc7cccc(c7)CCCCC7C68C(=O)OC(=C(O)C6CCC9C%10CC(CN9C6C)C(CC2)N3C%10)C8(CC5)C72OC(=O)c3c(CCCN)cccc32)C14
CNP0126473.0,N=c1nc(-c2nccc3c2[nH]c2ccccc23)cc[nH]1
CNP0126474.0,COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C(C)CCC(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5COC(=CC=CC3C)C45O)CC2OC)OC(C)C1O
CNP0126475.1,COc1cc(CC2CC(CO)C(c3cc(O)c(O)c(OC)c3)O2)ccc1O
CNP0126476.0,CC(C)=CCc1cc2c(=O)c3c(O)cc(O)cc3oc2c(O)c1O
CNP0126477.0,Cc1cc(=O)c2c(o1)C1(CCC(c3ccccc3)CC1)CC(=O)O2
CNP0126478.0,COc1ccc2c3c1OC1CCC=CC31CCCC2
CNP0126479.0,O=C1C=C2CC(NCCc3c[nH]c4ccccc34)C3CC2(O1)C1CCCCN31
CNP0126480.1,CC(=O)OC(C)C=CC(=O)NC1CC(C)C(CC=C(C)C=CC2CC(O)(CCl)CC(CC(=O)O)O2)OC1C
CNP0126481.0,CC(C)=CCCC(C)=CCc1cc(CC=C(C)C)c2oc3c(O)ccc(O)c3c(=O)c2c1O
CNP0126482.1,CCCCC(CC)CC1CCCCC1OC(C)=O
CNP0126482.2,CCCCC(CC)CC1CCCCC1OC(C)=O
CNP0126482.3,CCCCC(CC)CC1CCCCC1OC(C)=O
CNP0126482.4,CCCCC(CC)CC1CCCCC1OC(C)=O
CNP0126483.0,COC(=O)CC(c1cc(O)c(O)c(OC)c1)c1c(C)[nH][nH]c1=O
CNP0126485.1,CC1(O)CCC(Br)C(C)(C)C1CCC1(C)C(Br)CCC2=COc3ccc(C(=O)O)cc3CC21
CNP0126485.2,CC1(O)CCC(Br)C(C)(C)C1CCC1(C)C(Br)CCC2=COc3ccc(C(=O)O)cc3CC21
CNP0126486.0,O=C1C(O)=c2c(c3ccc(=O)c4c(O)ccc2c4-3)-c2cccc(O)c21
CNP0126487.1,CC(C)=CCCC(C)=CCc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)cc1)O2
CNP0126487.2,CC(C)=CCCC(C)=CCc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)cc1)O2
CNP0126488.0,CC(=O)OC1C(OCc2ccccc2)OC2COC(c3ccccc3)OC2C1OC(C)=O
CNP0126489.1,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC
CNP0126490.1,COC(=O)C(C)=CC(O)CC(C)C1(C)CC=C2C3=C(CCC21C)C1(C)CCC(O)C(C)(C)C1CC3
