cluster_post,UMAP_0,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11
56,8.42165,2.526618,0.5171628,9.775232,4.196445,5.0344143,5.9246063,2.9277093,-0.29239023,4.648504,6.330039,2.8227158
57,10.750344,-0.009492644,2.366018,10.068618,4.795361,3.9772878,6.433506,3.3289385,7.4205346,3.4643135,6.3144436,2.952561
58,14.129707,0.6530899,1.17022,5.4016314,4.8328967,-1.8063004,4.994107,2.8949869,5.050373,4.3305197,6.5819845,5.049035
59,9.600021,-1.2940731,1.4237204,5.0280476,-2.660105,4.9442596,6.2322907,3.6740835,4.2310133,2.7985775,7.0538363,4.6089277
60,9.516887,-1.7262404,1.32075,4.9962535,-2.6961966,4.7186174,6.2117777,3.4932806,4.4090137,2.3725152,6.6999464,4.6477165
61,9.672126,-4.663527,1.2831202,6.24314,6.380661,4.756211,5.168135,-0.40308708,3.636151,0.27824444,5.3279176,4.8271914
62,10.630182,1.6484401,1.0599355,11.893147,4.556936,5.234779,4.8331723,2.855434,5.647746,5.140017,7.3370905,4.203247
63,10.274366,2.0830574,0.9210106,11.798079,4.4257708,5.2357593,4.999057,2.787719,5.2878947,4.797015,7.288971,4.393476
64,8.669406,3.09267,1.5528855,9.563161,6.7883,4.6031213,4.917824,3.0020907,1.3482794,4.4144373,4.7951093,4.6616144
65,9.741203,-0.38554987,1.3025324,5.230375,3.8714032,3.9869258,6.1842775,1.5073261,7.269514,6.9451585,13.5218935,3.8184
66,8.786265,1.7928959,0.3346734,10.555547,4.307435,4.8772616,5.901438,3.1850693,0.78021324,4.8086853,6.3509603,3.9648798
67,13.320282,1.0471895,1.1765379,4.5319,5.3958573,12.7853365,6.0608177,2.9292917,3.6678553,4.6843762,5.553628,4.5029573
68,9.485831,-3.2434738,1.337016,5.6846952,-0.5473057,3.9339337,6.5524464,3.4167218,7.31065,5.432135,9.482713,4.595304
69,9.832738,-1.1244676,1.2248886,5.0554996,5.040732,4.96445,4.86494,-4.433822,2.1303608,5.43556,3.8434436,5.121389
70,9.700313,-1.084092,1.0619704,5.1038165,5.1044517,5.1343813,4.7885976,-4.4832377,2.2293422,5.432241,3.883589,4.9552946
71,9.55883,1.6885375,1.0652564,10.773638,4.362109,4.379415,5.200869,2.2002354,1.0943519,4.483996,6.4189253,9.305451
72,9.176552,1.7255634,0.83277106,10.552264,4.2249336,4.459198,5.220499,2.2248561,1.2769159,4.350148,6.5234566,9.194691
73,13.341236,-0.30942306,1.2312545,5.138442,4.634404,-2.4388115,4.6494927,2.8643258,4.8395886,4.290825,5.8312325,5.1194887
