OriginalIndex,BaseValue
2826,-8.669639
2836,-8.669639
2846,-8.669639
2847,-8.669639
2855,-8.669639
2858,-8.669639
2864,-8.669639
2874,-8.669639
2882,-8.669639
2884,-8.669639
2899,-8.669639
2901,-8.669639
2910,-8.669639
2913,-8.669639
2922,-8.669639
2927,-8.669639
2929,-8.669639
2932,-8.669639
2935,-8.669639
2947,-8.669639
2948,-8.669639
2952,-8.669639
2954,-8.669639
2955,-8.669639
2956,-8.669639
2960,-8.669639
2973,-8.669639
2974,-8.669639
2982,-8.669639
2986,-8.669639
2992,-8.669639
2998,-8.669639
3000,-8.669639
3003,-8.669639
3006,-8.669639
3011,-8.669639
3013,-8.669639
3015,-8.669639
3017,-8.669639
3021,-8.669639
3024,-8.669639
3025,-8.669639
3027,-8.669639
3031,-8.669639
3034,-8.669639
3037,-8.669639
3038,-8.669639
3043,-8.669639
3047,-8.669639
3048,-8.669639
3053,-8.669639
3058,-8.669639
3059,-8.669639
3060,-8.669639
3063,-8.669639
3065,-8.669639
3068,-8.669639
3069,-8.669639
3079,-8.669639
3082,-8.669639
3088,-8.669639
3090,-8.669639
3094,-8.669639
3100,-8.669639
3101,-8.669639
3105,-8.669639
3111,-8.669639
3125,-8.669639
3131,-8.669639
3133,-8.669639
3139,-8.669639
3143,-8.669639
3146,-8.669639
3148,-8.669639
3160,-8.669639
3166,-8.669639
3181,-8.669639
3184,-8.669639
3187,-8.669639
3194,-8.669639
3206,-8.669639
3207,-8.669639
3210,-8.669639
3231,-8.669639
3234,-8.669639
3238,-8.669639
3263,-8.669639
3264,-8.669639
3265,-8.669639
3272,-8.669639
3279,-8.669639
3284,-8.669639
3288,-8.669639
3290,-8.669639
3295,-8.669639
3297,-8.669639
3299,-8.669639
3307,-8.669639
3312,-8.669639
3314,-8.669639
3315,-8.669639
3316,-8.669639
3319,-8.669639
3328,-8.669639
3329,-8.669639
3333,-8.669639
3334,-8.669639
3344,-8.669639
3349,-8.669639
3355,-8.669639
3369,-8.669639
3370,-8.669639
3375,-8.669639
3378,-8.669639
3379,-8.669639
3387,-8.669639
3393,-8.669639
3399,-8.669639
3400,-8.669639
3403,-8.669639
3404,-8.669639
3405,-8.669639
3411,-8.669639
3412,-8.669639
3413,-8.669639
3424,-8.669639
3434,-8.669639
3437,-8.669639
3441,-8.669639
3447,-8.669639
3448,-8.669639
3457,-8.669639
3458,-8.669639
3461,-8.669639
3465,-8.669639
3467,-8.669639
3468,-8.669639
3470,-8.669639
3485,-8.669639
3487,-8.669639
3488,-8.669639
3495,-8.669639
3501,-8.669639
