SMILES,PredictionsNuclear Response_NR-AR,Probability_Nuclear Response_NR-AR,Interpretation_Nuclear Response_NR-AR,PredictionsNuclear Response_NR-AR-LBD,Probability_Nuclear Response_NR-AR-LBD,Interpretation_Nuclear Response_NR-AR-LBD,PredictionsNuclear Response_NR-AhR,Probability_Nuclear Response_NR-AhR,Interpretation_Nuclear Response_NR-AhR,PredictionsNuclear Response_NR-Aromatase,Probability_Nuclear Response_NR-Aromatase,Interpretation_Nuclear Response_NR-Aromatase,PredictionsNuclear Response_NR-ER,Probability_Nuclear Response_NR-ER,Interpretation_Nuclear Response_NR-ER,PredictionsNuclear Response_NR-ER-LBD,Probability_Nuclear Response_NR-ER-LBD,Interpretation_Nuclear Response_NR-ER-LBD,PredictionsNuclear Response_NR-PPAR-gamma,Probability_Nuclear Response_NR-PPAR-gamma,Interpretation_Nuclear Response_NR-PPAR-gamma,PredictionsNuclear Response_NR-GR,Probability_Nuclear Response_NR-GR,Interpretation_Nuclear Response_NR-GR,PredictionsNuclear Response_NR-TR,Probability_Nuclear Response_NR-TR,Interpretation_Nuclear Response_NR-TR,PredictionsStress Response_SR-ARE,Probability_Stress Response_SR-ARE,Interpretation_Stress Response_SR-ARE,PredictionsStress Response_SR-ATAD5,Probability_Stress Response_SR-ATAD5,Interpretation_Stress Response_SR-ATAD5,PredictionsStress Response_SR-HSE,Probability_Stress Response_SR-HSE,Interpretation_Stress Response_SR-HSE,PredictionsStress Response_SR-MMP,Probability_Stress Response_SR-MMP,Interpretation_Stress Response_SR-MMP,PredictionsStress Response_SR-p53,Probability_Stress Response_SR-p53,Interpretation_Stress Response_SR-p53,PredictionsGenomic_AMES_Mutagenesis,Probability_Genomic_AMES_Mutagenesis,Interpretation_Genomic_AMES_Mutagenesis,PredictionsGenomic_Carcinogenesis,Probability_Genomic_Carcinogenesis,Interpretation_Genomic_Carcinogenesis,PredictionsGenomic_Micronucleus,Probability_Genomic_Micronucleus,Interpretation_Genomic_Micronucleus,PredictionsEnvironmental_Fathead_Minnow,Probability_Environmental_Fathead_Minnow,Interpretation_Environmental_Fathead_Minnow,PredictionsEnvironmental_T._Pyriformis,Probability_Environmental_T._Pyriformis,Interpretation_Environmental_T._Pyriformis,PredictionsEnvironmental_Honey_Bee,Probability_Environmental_Honey_Bee,Interpretation_Environmental_Honey_Bee,PredictionsEnvironmental_Biodegradation,Probability_Environmental_Biodegradation,Interpretation_Environmental_Biodegradation,PredictionsEnvironmental_Crustacean,Probability_Environmental_Crustacean,Interpretation_Environmental_Crustacean,PredictionsEnvironmental_Avian,Probability_Environmental_Avian,Interpretation_Environmental_Avian,PredictionsEnvironmental_Fathead_Minnow_(Regression),Probability_Environmental_Fathead_Minnow_(Regression),Interpretation_Environmental_Fathead_Minnow_(Regression),PredictionsEnvironmental_T._Pyriformis_(Regression),Probability_Environmental_T._Pyriformis_(Regression),Interpretation_Environmental_T._Pyriformis_(Regression),PredictionsEnvironmental_Rat_(Acute),Probability_Environmental_Rat_(Acute),Interpretation_Environmental_Rat_(Acute),PredictionsEnvironmental_Rat_(Chronic_Oral),Probability_Environmental_Rat_(Chronic_Oral),Interpretation_Environmental_Rat_(Chronic_Oral),PredictionsDose Response_Maximum_Tolerated_Dose,Probability_Dose Response_Maximum_Tolerated_Dose,Interpretation_Dose Response_Maximum_Tolerated_Dose,PredictionsOrganic_Skin_Sensitisation,Probability_Organic_Skin_Sensitisation,Interpretation_Organic_Skin_Sensitisation,PredictionsOrganic_hERG_I_Inhibitor,Probability_Organic_hERG_I_Inhibitor,Interpretation_Organic_hERG_I_Inhibitor,PredictionsOrganic_hERG_II_Inhibitor,Probability_Organic_hERG_II_Inhibitor,Interpretation_Organic_hERG_II_Inhibitor,PredictionsOrganic_Liver_Injury_I,Probability_Organic_Liver_Injury_I,Interpretation_Organic_Liver_Injury_I,PredictionsOrganic_Liver_Injury_II,Probability_Organic_Liver_Injury_II,Interpretation_Organic_Liver_Injury_II,PredictionsOrganic_Eye_Irritation,Probability_Organic_Eye_Irritation,Interpretation_Organic_Eye_Irritation,PredictionsOrganic_Eye_Corrosion,Probability_Organic_Eye_Corrosion,Interpretation_Organic_Eye_Corrosion,PredictionsOrganic_Respiratory_Disease,Probability_Organic_Respiratory_Disease,Interpretation_Organic_Respiratory_Disease
CC(=O)OC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1OC1CC(O)C(OC2OC(CO)C(O)C(O)C2O)C(C)O1,Safe,0.290,Medium Safety,Toxic,0.540,Low Toxicity,Safe,0.000,High Safety,Safe,0.250,Medium Safety,Safe,0.340,Low Safety,Safe,0.050,High Safety,Safe,0.010,High Safety,Safe,0.270,Medium Safety,Safe,0.000,High Safety,Safe,0.150,High Safety,Safe,0.010,High Safety,Safe,0.020,High Safety,Toxic,0.560,Low Toxicity,Toxic,0.540,Low Toxicity,Safe,0.090,High Safety,Safe,0.100,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.650,Low Toxicity,Toxic,0.830,Medium Toxicity,Toxic,0.590,Low Toxicity,Safe,0.070,High Safety,Safe,0.380,Low Safety,Safe,0.000,High Safety,1.090,-,None,0.640,-,None,3.610,-,None,2.870,-,None,-2.480,-,None,Safe,0.360,Low Safety,Safe,0.010,High Safety,Toxic,0.510,Low Toxicity,Safe,0.050,High Safety,Toxic,0.560,Low Toxicity,Safe,0.000,High Safety,Safe,0.000,High Safety,Toxic,0.880,High Toxicity
COc1cc2cc(C(=O)N3CC4CC45C3=CC(=O)c3[nH]c(C(=O)N4CCc6c4c(O)c(OC)c4[nH]c(SC(C)=O)cc64)cc35)[nH]c2cc1O,Safe,0.030,High Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.090,High Safety,Safe,0.140,High Safety,Safe,0.010,High Safety,Toxic,0.640,Low Toxicity,Safe,0.430,Low Safety,Safe,0.430,Low Safety,Safe,0.420,Low Safety,Safe,0.450,Low Safety,Safe,0.180,Medium Safety,Toxic,0.600,Low Toxicity,Safe,0.060,High Safety,Safe,0.230,Medium Safety,Safe,0.030,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.890,High Toxicity,Toxic,0.970,High Toxicity,Safe,0.450,Low Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity,Toxic,0.740,Medium Toxicity,-1.970,-,None,1.920,-,None,2.930,-,None,1.660,-,None,0.070,-,None,Safe,0.230,Medium Safety,Safe,0.240,Medium Safety,Toxic,0.660,Low Toxicity,Safe,0.360,Low Safety,Safe,0.300,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.860,High Toxicity
COC1CC(OC2CCC3(C)C(=CCC4C3C(=O)C3OC(C)C5CC(=O)C4C35C)C2O)OC(C)C1OC1OC(CO)C(O)C(O)C1O,Safe,0.180,Medium Safety,Safe,0.260,Medium Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.180,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.320,Medium Safety,Safe,0.140,High Safety,Safe,0.180,Medium Safety,Safe,0.010,High Safety,Safe,0.050,High Safety,Safe,0.220,Medium Safety,Safe,0.200,Medium Safety,Safe,0.140,High Safety,Safe,0.120,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.530,Low Toxicity,Toxic,0.710,Medium Toxicity,Toxic,0.530,Low Toxicity,Safe,0.060,High Safety,Safe,0.280,Medium Safety,Safe,0.010,High Safety,1.400,-,None,-0.420,-,None,3.600,-,None,2.890,-,None,-0.650,-,None,Safe,0.280,Medium Safety,Safe,0.030,High Safety,Safe,0.360,Low Safety,Safe,0.200,Medium Safety,Safe,0.420,Low Safety,Safe,0.000,High Safety,Safe,0.010,High Safety,Toxic,0.740,Medium Toxicity
COC1CC(OC2CCC3(C)C(=CCC4C3C(=O)C3OC(C)C5CC(=O)C4C35C)C2O)OC(C)C1OC1OC(CO)C(O)C(O)C1O,Safe,0.180,Medium Safety,Safe,0.260,Medium Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.180,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.320,Medium Safety,Safe,0.140,High Safety,Safe,0.180,Medium Safety,Safe,0.010,High Safety,Safe,0.050,High Safety,Safe,0.220,Medium Safety,Safe,0.200,Medium Safety,Safe,0.140,High Safety,Safe,0.120,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.530,Low Toxicity,Toxic,0.710,Medium Toxicity,Toxic,0.530,Low Toxicity,Safe,0.060,High Safety,Safe,0.280,Medium Safety,Safe,0.010,High Safety,1.400,-,None,-0.420,-,None,3.600,-,None,2.890,-,None,-0.650,-,None,Safe,0.280,Medium Safety,Safe,0.030,High Safety,Safe,0.360,Low Safety,Safe,0.200,Medium Safety,Safe,0.420,Low Safety,Safe,0.000,High Safety,Safe,0.010,High Safety,Toxic,0.740,Medium Toxicity
COC1CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4C(O)CC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)OC(C)C1O,Safe,0.290,Medium Safety,Toxic,0.790,Medium Toxicity,Safe,0.000,High Safety,Safe,0.320,Medium Safety,Safe,0.350,Low Safety,Safe,0.060,High Safety,Safe,0.010,High Safety,Toxic,0.600,Low Toxicity,Safe,0.030,High Safety,Safe,0.220,Medium Safety,Safe,0.030,High Safety,Safe,0.020,High Safety,Safe,0.350,Low Safety,Safe,0.230,Medium Safety,Safe,0.160,High Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.870,High Toxicity,Toxic,0.850,High Toxicity,Toxic,0.600,Low Toxicity,Safe,0.100,High Safety,Toxic,0.690,Medium Toxicity,Safe,0.000,High Safety,0.360,-,None,1.350,-,None,4.110,-,None,2.910,-,None,-1.510,-,None,Safe,0.410,Low Safety,Safe,0.010,High Safety,Toxic,0.550,Low Toxicity,Toxic,0.680,Medium Toxicity,Toxic,0.530,Low Toxicity,Safe,0.020,High Safety,Safe,0.000,High Safety,Toxic,0.860,High Toxicity
CC1OC(OC2C(C)OC(OC3C(CO)OC(OC4CCC5(C)C(=CCC6C5CCC5(C)C6CC6OC7(OCC(CO)CC7O)C(C)C65O)C4)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Safe,0.020,High Safety,Safe,0.330,Medium Safety,Safe,0.000,High Safety,Safe,0.070,High Safety,Safe,0.320,Medium Safety,Safe,0.040,High Safety,Safe,0.010,High Safety,Safe,0.250,Medium Safety,Safe,0.120,High Safety,Safe,0.300,Medium Safety,Safe,0.020,High Safety,Safe,0.030,High Safety,Safe,0.200,Medium Safety,Safe,0.280,Medium Safety,Safe,0.040,High Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.580,Low Toxicity,Toxic,0.610,Low Toxicity,Toxic,0.570,Low Toxicity,Safe,0.060,High Safety,Safe,0.230,Medium Safety,Safe,0.010,High Safety,1.810,-,None,-0.660,-,None,3.820,-,None,2.820,-,None,-1.300,-,None,Safe,0.360,Low Safety,Safe,0.050,High Safety,Toxic,0.640,Low Toxicity,Safe,0.130,High Safety,Safe,0.400,Low Safety,Safe,0.000,High Safety,Safe,0.010,High Safety,Toxic,0.710,Medium Toxicity
CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O,Safe,0.010,High Safety,Safe,0.130,High Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.230,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.430,Low Safety,Safe,0.240,Medium Safety,Toxic,0.520,Low Toxicity,Safe,0.120,High Safety,Safe,0.040,High Safety,Safe,0.420,Low Safety,Safe,0.060,High Safety,Safe,0.410,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.920,High Toxicity,Toxic,0.930,High Toxicity,Toxic,0.750,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.600,Low Toxicity,Safe,0.000,High Safety,0.100,-,None,1.360,-,None,3.080,-,None,1.880,-,None,-0.190,-,None,Safe,0.360,Low Safety,Safe,0.160,High Safety,Safe,0.480,Low Safety,Toxic,0.690,Medium Toxicity,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity
CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O,Safe,0.010,High Safety,Safe,0.130,High Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.230,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.430,Low Safety,Safe,0.240,Medium Safety,Toxic,0.520,Low Toxicity,Safe,0.120,High Safety,Safe,0.040,High Safety,Safe,0.420,Low Safety,Safe,0.060,High Safety,Safe,0.410,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.920,High Toxicity,Toxic,0.930,High Toxicity,Toxic,0.750,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.600,Low Toxicity,Safe,0.000,High Safety,0.100,-,None,1.360,-,None,3.080,-,None,1.880,-,None,-0.190,-,None,Safe,0.360,Low Safety,Safe,0.160,High Safety,Safe,0.480,Low Safety,Toxic,0.690,Medium Toxicity,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity
CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O,Safe,0.010,High Safety,Safe,0.130,High Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.230,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.430,Low Safety,Safe,0.240,Medium Safety,Toxic,0.520,Low Toxicity,Safe,0.120,High Safety,Safe,0.040,High Safety,Safe,0.420,Low Safety,Safe,0.060,High Safety,Safe,0.410,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.920,High Toxicity,Toxic,0.930,High Toxicity,Toxic,0.750,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.600,Low Toxicity,Safe,0.000,High Safety,0.100,-,None,1.360,-,None,3.080,-,None,1.880,-,None,-0.190,-,None,Safe,0.360,Low Safety,Safe,0.160,High Safety,Safe,0.480,Low Safety,Toxic,0.690,Medium Toxicity,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity
CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O,Safe,0.010,High Safety,Safe,0.130,High Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.230,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.430,Low Safety,Safe,0.240,Medium Safety,Toxic,0.520,Low Toxicity,Safe,0.120,High Safety,Safe,0.040,High Safety,Safe,0.420,Low Safety,Safe,0.060,High Safety,Safe,0.410,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.920,High Toxicity,Toxic,0.930,High Toxicity,Toxic,0.750,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.600,Low Toxicity,Safe,0.000,High Safety,0.100,-,None,1.360,-,None,3.080,-,None,1.880,-,None,-0.190,-,None,Safe,0.360,Low Safety,Safe,0.160,High Safety,Safe,0.480,Low Safety,Toxic,0.690,Medium Toxicity,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity
CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O,Safe,0.010,High Safety,Safe,0.130,High Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.230,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.430,Low Safety,Safe,0.240,Medium Safety,Toxic,0.520,Low Toxicity,Safe,0.120,High Safety,Safe,0.040,High Safety,Safe,0.420,Low Safety,Safe,0.060,High Safety,Safe,0.410,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.920,High Toxicity,Toxic,0.930,High Toxicity,Toxic,0.750,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.600,Low Toxicity,Safe,0.000,High Safety,0.100,-,None,1.360,-,None,3.080,-,None,1.880,-,None,-0.190,-,None,Safe,0.360,Low Safety,Safe,0.160,High Safety,Safe,0.480,Low Safety,Toxic,0.690,Medium Toxicity,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity
CC1OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(=O)C(C)C5CCC4(C)C2(C)CC3O)C(OC2OC(C)C(OC3OCC(O)C(OC4OCC(OC5OCC(O)C(O)C5O)C(O)C4O)C3O)C(O)C2O)C(O)C1O,Safe,0.050,High Safety,Safe,0.290,Medium Safety,Safe,0.000,High Safety,Safe,0.140,High Safety,Safe,0.400,Low Safety,Toxic,0.510,Low Toxicity,Safe,0.010,High Safety,Safe,0.210,Medium Safety,Safe,0.110,High Safety,Safe,0.320,Medium Safety,Safe,0.020,High Safety,Safe,0.060,High Safety,Safe,0.430,Low Safety,Toxic,0.910,High Toxicity,Safe,0.050,High Safety,Safe,0.120,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.520,Low Toxicity,Toxic,0.710,Medium Toxicity,Toxic,0.860,High Toxicity,Safe,0.120,High Safety,Safe,0.280,Medium Safety,Safe,0.000,High Safety,1.360,-,None,-0.390,-,None,3.600,-,None,2.750,-,None,-1.180,-,None,Safe,0.310,Medium Safety,Safe,0.060,High Safety,Safe,0.400,Low Safety,Safe,0.090,High Safety,Safe,0.390,Low Safety,Safe,0.010,High Safety,Safe,0.010,High Safety,Toxic,0.730,Medium Toxicity
COC1C(O)C(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,Safe,0.200,Medium Safety,Toxic,0.590,Low Toxicity,Safe,0.000,High Safety,Safe,0.360,Low Safety,Safe,0.330,Medium Safety,Safe,0.100,High Safety,Safe,0.010,High Safety,Safe,0.250,Medium Safety,Safe,0.000,High Safety,Safe,0.150,High Safety,Safe,0.010,High Safety,Safe,0.010,High Safety,Safe,0.290,Medium Safety,Safe,0.190,Medium Safety,Safe,0.080,High Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.590,Low Toxicity,Toxic,0.730,Medium Toxicity,Safe,0.490,Low Safety,Safe,0.150,High Safety,Safe,0.320,Medium Safety,Safe,0.000,High Safety,1.390,-,None,-0.240,-,None,4.280,-,None,2.850,-,None,-2.540,-,None,Safe,0.430,Low Safety,Safe,0.010,High Safety,Toxic,0.650,Low Toxicity,Safe,0.030,High Safety,Toxic,0.600,Low Toxicity,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.870,High Toxicity
CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)C4=C(C5=O)C5(O)C(=O)CC(C)(OC6CCC(OC7CCC(=O)C(C)O7)C(C)O6)CC5(O)C=C4)OC3C)OC2C)CCC1=O,Safe,0.010,High Safety,Safe,0.150,High Safety,Safe,0.000,High Safety,Safe,0.170,Medium Safety,Safe,0.320,Medium Safety,Safe,0.050,High Safety,Safe,0.010,High Safety,Safe,0.460,Low Safety,Safe,0.250,Medium Safety,Safe,0.450,Low Safety,Safe,0.080,High Safety,Safe,0.050,High Safety,Safe,0.410,Low Safety,Safe,0.070,High Safety,Safe,0.380,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.960,High Toxicity,Toxic,0.740,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.660,Low Toxicity,Safe,0.010,High Safety,-1.740,-,None,1.880,-,None,3.510,-,None,1.800,-,None,-0.240,-,None,Safe,0.340,Low Safety,Safe,0.170,Medium Safety,Safe,0.460,Low Safety,Safe,0.470,Low Safety,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.710,Medium Toxicity
CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)C4=C(C5=O)C5(O)C(=O)CC(C)(OC6CCC(OC7CCC(=O)C(C)O7)C(C)O6)CC5(O)C=C4)OC3C)OC2C)CCC1=O,Safe,0.010,High Safety,Safe,0.150,High Safety,Safe,0.000,High Safety,Safe,0.170,Medium Safety,Safe,0.320,Medium Safety,Safe,0.050,High Safety,Safe,0.010,High Safety,Safe,0.460,Low Safety,Safe,0.250,Medium Safety,Safe,0.450,Low Safety,Safe,0.080,High Safety,Safe,0.050,High Safety,Safe,0.410,Low Safety,Safe,0.070,High Safety,Safe,0.380,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.960,High Toxicity,Toxic,0.740,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.660,Low Toxicity,Safe,0.010,High Safety,-1.740,-,None,1.880,-,None,3.510,-,None,1.800,-,None,-0.240,-,None,Safe,0.340,Low Safety,Safe,0.170,Medium Safety,Safe,0.460,Low Safety,Safe,0.470,Low Safety,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.710,Medium Toxicity
CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)C4=C(C5=O)C5(O)C(=O)CC(C)(OC6CCC(OC7CCC(=O)C(C)O7)C(C)O6)CC5(O)C=C4)OC3C)OC2C)CCC1=O,Safe,0.010,High Safety,Safe,0.150,High Safety,Safe,0.000,High Safety,Safe,0.170,Medium Safety,Safe,0.320,Medium Safety,Safe,0.050,High Safety,Safe,0.010,High Safety,Safe,0.460,Low Safety,Safe,0.250,Medium Safety,Safe,0.450,Low Safety,Safe,0.080,High Safety,Safe,0.050,High Safety,Safe,0.410,Low Safety,Safe,0.070,High Safety,Safe,0.380,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.960,High Toxicity,Toxic,0.740,Medium Toxicity,Safe,0.000,High Safety,Toxic,0.660,Low Toxicity,Safe,0.010,High Safety,-1.740,-,None,1.880,-,None,3.510,-,None,1.800,-,None,-0.240,-,None,Safe,0.340,Low Safety,Safe,0.170,Medium Safety,Safe,0.460,Low Safety,Safe,0.470,Low Safety,Safe,0.270,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.710,Medium Toxicity
Cc1c(O)cc2c(c1O)C(=O)CC(c1ccc(Oc3cc(-c4cc(=O)c5c(O)c(C)c(O)cc5o4)ccc3O)cc1)O2,Safe,0.040,High Safety,Safe,0.020,High Safety,Safe,0.170,Medium Safety,Safe,0.060,High Safety,Safe,0.190,Medium Safety,Safe,0.090,High Safety,Safe,0.040,High Safety,Safe,0.170,Medium Safety,Safe,0.200,Medium Safety,Safe,0.380,Low Safety,Safe,0.070,High Safety,Safe,0.120,High Safety,Toxic,0.700,Medium Toxicity,Toxic,0.790,Medium Toxicity,Safe,0.360,Low Safety,Safe,0.120,High Safety,Safe,0.470,Low Safety,Toxic,1.000,High Toxicity,Toxic,0.990,High Toxicity,Safe,0.360,Low Safety,Safe,0.040,High Safety,Toxic,0.700,Medium Toxicity,Toxic,0.970,High Toxicity,-2.660,-,None,1.910,-,None,3.370,-,None,2.670,-,None,0.030,-,None,Safe,0.370,Low Safety,Safe,0.130,High Safety,Toxic,0.800,Medium Toxicity,Safe,0.270,Medium Safety,Safe,0.390,Low Safety,Safe,0.440,Low Safety,Safe,0.000,High Safety,Toxic,0.630,Low Toxicity
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)(CO)C2O)C1O,Safe,0.050,High Safety,Safe,0.490,Low Safety,Safe,0.000,High Safety,Safe,0.270,Medium Safety,Safe,0.250,Medium Safety,Safe,0.100,High Safety,Safe,0.010,High Safety,Safe,0.400,Low Safety,Safe,0.040,High Safety,Safe,0.150,High Safety,Safe,0.020,High Safety,Safe,0.020,High Safety,Safe,0.190,Medium Safety,Safe,0.090,High Safety,Safe,0.070,High Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.590,Low Toxicity,Toxic,0.780,Medium Toxicity,Safe,0.490,Low Safety,Safe,0.070,High Safety,Safe,0.160,High Safety,Safe,0.000,High Safety,1.420,-,None,-0.260,-,None,3.910,-,None,2.740,-,None,-0.930,-,None,Safe,0.360,Low Safety,Safe,0.030,High Safety,Toxic,0.570,Low Toxicity,Safe,0.210,Medium Safety,Safe,0.380,Low Safety,Safe,0.000,High Safety,Safe,0.000,High Safety,Toxic,0.870,High Toxicity
COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CCC5(C)C(=CC(O)C6C(=O)OC7COC8(C)OC=C(CCC65)C78)C4)CC3OC)OC2C)OC(C)C1O,Safe,0.170,Medium Safety,Safe,0.270,Medium Safety,Safe,0.000,High Safety,Safe,0.110,High Safety,Safe,0.250,Medium Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.450,Low Safety,Safe,0.130,High Safety,Safe,0.240,Medium Safety,Safe,0.030,High Safety,Safe,0.040,High Safety,Toxic,0.580,Low Toxicity,Safe,0.240,Medium Safety,Safe,0.160,High Safety,Safe,0.100,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.900,High Toxicity,Toxic,0.830,Medium Toxicity,Toxic,0.590,Low Toxicity,Safe,0.040,High Safety,Toxic,0.570,Low Toxicity,Safe,0.000,High Safety,0.490,-,None,1.320,-,None,3.490,-,None,2.880,-,None,-0.650,-,None,Safe,0.170,Medium Safety,Safe,0.020,High Safety,Toxic,0.560,Low Toxicity,Toxic,0.680,Medium Toxicity,Safe,0.350,Low Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.790,Medium Toxicity
