Nuclear Response_NR-AR,Nuclear Response_NR-AR-LBD,Nuclear Response_NR-AhR,Nuclear Response_NR-Aromatase,Nuclear Response_NR-ER,Nuclear Response_NR-ER-LBD,Nuclear Response_NR-PPAR-gamma,Nuclear Response_NR-GR,Nuclear Response_NR-TR,Stress Response_SR-ARE,Stress Response_SR-ATAD5,Stress Response_SR-HSE,Stress Response_SR-MMP,Stress Response_SR-p53,Genomic_AMES_Mutagenesis,Genomic_Carcinogenesis,Genomic_Micronucleus,Environmental_Fathead_Minnow,Environmental_T._Pyriformis,Environmental_Honey_Bee,Environmental_Biodegradation,Environmental_Crustacean,Environmental_Avian,Environmental_Fathead_Minnow_(Regression),Environmental_T._Pyriformis_(Regression),Environmental_Rat_(Acute),Environmental_Rat_(Chronic_Oral),Dose Response_Maximum_Tolerated_Dose,Organic_Skin_Sensitisation,Organic_hERG_I_Inhibitor,Organic_hERG_II_Inhibitor,Organic_Liver_Injury_I,Organic_Liver_Injury_II,Organic_Eye_Irritation,Organic_Eye_Corrosion,Organic_Respiratory_Disease,identifier,SMILES
Medium Safety,Medium Toxicity,High Safety,Medium Safety,Low Safety,High Safety,High Safety,Low Toxicity,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Medium Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Toxicity,Low Toxicity,High Safety,High Safety,High Toxicity,CNP0126324.1,COC1CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4C(O)CC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)OC(C)C1O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0126692.0,CC1OC(OC2C(C)OC(OC3C(CO)OC(OC4CCC5(C)C(=CCC6C5CCC5(C)C6CC6OC7(OCC(CO)CC7O)C(C)C65O)C4)C(O)C3O)C(O)C2O)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0127480.1,CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0127480.2,CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0127480.3,CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0127480.4,CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0127480.5,CC1OC(OC2CCC(OC3(C)CC(=O)C4(O)C5=C(C=CC4(O)C3)C(=O)c3c(ccc(C4CC(O)C(OC6C=CC(=O)C(C)O6)C(C)O4)c3O)C5=O)OC2C)C=CC1=O
High Safety,Medium Safety,High Safety,High Safety,Low Safety,Low Toxicity,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Toxicity,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,,,,,,Medium Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0128255.2,CC1OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(=O)C(C)C5CCC4(C)C2(C)CC3O)C(OC2OC(C)C(OC3OCC(O)C(OC4OCC(OC5OCC(O)C(O)C5O)C(O)C4O)C3O)C(O)C2O)C(O)C1O
Medium Safety,Low Toxicity,High Safety,Low Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Safety,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Toxicity,CNP0128822.1,COC1C(O)C(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O
High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Safety,Low Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0130566.1,CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)C4=C(C5=O)C5(O)C(=O)CC(C)(OC6CCC(OC7CCC(=O)C(C)O7)C(C)O6)CC5(O)C=C4)OC3C)OC2C)CCC1=O
High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Safety,Low Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0130566.2,CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)C4=C(C5=O)C5(O)C(=O)CC(C)(OC6CCC(OC7CCC(=O)C(C)O7)C(C)O6)CC5(O)C=C4)OC3C)OC2C)CCC1=O
High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Safety,Low Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0130566.3,CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)C4=C(C5=O)C5(O)C(=O)CC(C)(OC6CCC(OC7CCC(=O)C(C)O7)C(C)O6)CC5(O)C=C4)OC3C)OC2C)CCC1=O
High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,Low Safety,High Safety,High Safety,Medium Toxicity,Medium Toxicity,Low Safety,High Safety,Low Safety,High Toxicity,High Toxicity,Low Safety,High Safety,Medium Toxicity,High Toxicity,,,,,,Low Safety,High Safety,Medium Toxicity,Medium Safety,Low Safety,Low Safety,High Safety,Low Toxicity,CNP0132314.0,Cc1c(O)cc2c(c1O)C(=O)CC(c1ccc(Oc3cc(-c4cc(=O)c5c(O)c(C)c(O)cc5o4)ccc3O)cc1)O2
High Safety,Low Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Safety,High Safety,High Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0132325.1,CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)(CO)C2O)C1O
Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,Medium Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0134260.1,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CCC5(C)C(=CC(O)C6C(=O)OC7COC8(C)OC=C(CCC65)C78)C4)CC3OC)OC2C)OC(C)C1O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0134461.1,CC1OC(OC2CCC3(C)C(=CCC4C3CC(=O)C3(C)C4CC4OC5(OCC(CO)CC5O)C(C)C43)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0134461.2,CC1OC(OC2CCC3(C)C(=CCC4C3CC(=O)C3(C)C4CC4OC5(OCC(CO)CC5O)C(C)C43)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0134936.1,CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0134936.2,CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0134936.3,CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0136154.1,CC1OC(OC2C(O)CC(c3ccc4c(c3O)C(=O)C3=C(C4=O)C4(O)C(=O)CC(C)(OC5CCC(OC6CCC(=O)C(C)O6)C(C)O5)CC4(O)C=C3)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0136154.2,CC1OC(OC2C(O)CC(c3ccc4c(c3O)C(=O)C3=C(C4=O)C4(O)C(=O)CC(C)(OC5CCC(OC6CCC(=O)C(C)O6)C(C)O5)CC4(O)C=C3)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0136154.3,CC1OC(OC2C(O)CC(c3ccc4c(c3O)C(=O)C3=C(C4=O)C4(O)C(=O)CC(C)(OC5CCC(OC6CCC(=O)C(C)O6)C(C)O5)CC4(O)C=C3)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0136563.1,CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC34C)C2(C)C)C(O)C(O)C1OC1OCC(O)C(O)C1O
Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Medium Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0136758.5,CC1=C(C)C(=O)OC(C(C)C2CCC3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC(O)C5(C)C4CCC23C)C1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0136979.1,COC1CC(OC2C(O)CC(OC3C(O)CC(OC4CC5=CCC6C(=O)OC7COC8(C)OC=C(CCC6C5(C)CC4O)C78)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0136979.2,COC1CC(OC2C(O)CC(OC3C(O)CC(OC4CC5=CCC6C(=O)OC7COC8(C)OC=C(CCC6C5(C)CC4O)C78)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0136979.3,COC1CC(OC2C(O)CC(OC3C(O)CC(OC4CC5=CCC6C(=O)OC7COC8(C)OC=C(CCC6C5(C)CC4O)C78)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,Low Safety,Medium Toxicity,High Toxicity,Medium Safety,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,Medium Safety,High Safety,Low Toxicity,CNP0137465.1,CC1CCC2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,Low Safety,Medium Toxicity,High Toxicity,Medium Safety,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,Medium Safety,High Safety,Low Toxicity,CNP0137465.2,CC1CCC2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Safety,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0137718.1,CC1CCC2(OC1)OC1CC3C4CC(=O)C5CC(OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Safety,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0137718.2,CC1CCC2(OC1)OC1CC3C4CC(=O)C5CC(OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Safety,High Safety,High Safety,Low Toxicity,High Toxicity,Medium Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,High Safety,High Safety,Low Safety,Medium Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0138875.0,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CCC5(C)C(=CC(O)C6C(=O)OC7C(=O)OC8(C)OC=C(CCC65)C78)C4)CC3OC)OC2C)OC(C)C1O
High Safety,Low Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,Low Safety,Low Toxicity,Low Safety,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0139000.1,CC1OC(OC2CCC3(C)C(CCC4(O)C3CCC3(C)C(C5=CC(=O)OC5)CC(=O)C34O)C2)CC(O)C1OC1OCC(O)C(OC2OCC(O)(CO)C2O)C1O
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Safety,Medium Safety,High Safety,Low Toxicity,Medium Toxicity,High Toxicity,Low Toxicity,Medium Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Low Safety,Medium Toxicity,High Safety,High Safety,Low Toxicity,CNP0140162.1,CC1CC2OC3C(CC2OC2CC4COC5CC=CC(C)C6OC7C=CC8OC9C(CC8OC7CC=CC6OC5CC4(O)OC2C1)OC1CC=CCOC1C9O)OC1C(C)C(C)C2(CC(O)CO2)OC1C(O)C3C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Safety,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0140398.0,CC1CCC2(OC1)OC1CC3C4CC(=O)C5CC(OC6OC(CO)C(O)C(O)C6OC6OCC(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0140612.2,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0140612.3,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0140612.4,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0140612.6,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0140612.7,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0140612.8,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,,,,,,Medium Safety,High Safety,Low Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Toxicity,CNP0145057.1,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CCC5(C)C(=CC(O)C6C(=O)OC7COC8(C)OC(=O)C(=CCC65)C78)C4)C(O)C3OC)OC2C)OC(C)C1O
