Ligand,actual_docking_score,predicted_docking_score
CNP0213332.11,-12.537,-12.860674
CNP0213332.12,-12.39,-12.8539095
CNP0213332.2,-14.135,-12.714544
CNP0213332.3,-12.724,-12.701874
CNP0213332.4,-12.588,-12.860436
CNP0213332.5,-12.773,-12.697504
CNP0213332.6,-13.209,-12.890627
CNP0213332.7,-13.148,-12.842869
CNP0213563.0,-12.887,-12.553737
CNP0214069.1,-13.693,-12.721375
CNP0214069.2,-13.522,-12.600881
CNP0214193.1,-12.845,-12.586313
CNP0214193.4,-11.922,-12.585764
CNP0376228.1,-13.042,-12.70441
CNP0376228.2,-13.021,-12.674358
CNP0380042.1,-13.326,-12.573683
CNP0383458.1,-12.282,-12.475751
CNP0384769.0,-12.198,-12.475982
CNP0386461.0,-11.863,-12.596205
CNP0387900.2,-11.456,-12.671048
CNP0389765.1,-12.601,-12.497042
CNP0389968.1,-13.092,-12.827834
CNP0394131.1,-11.731,-12.491407
CNP0398157.1,-12.901,-12.783185
CNP0398964.3,-13.013,-12.660815
CNP0400872.0,-13.317,-12.61477
CNP0403720.1,-11.407,-12.7092285
CNP0403720.2,-12.729,-12.773844
CNP0409471.1,-13.394,-12.995952
CNP0411203.4,-12.403,-12.5772085
CNP0411203.5,-12.514,-12.5772085
CNP0413252.1,-12.442,-12.67659
CNP0413252.10,-13.436,-12.6961355
CNP0413252.2,-11.267,-12.618056
CNP0413252.3,-12.831,-12.665209
CNP0413252.4,-12.47,-12.652442
CNP0413252.5,-12.925,-12.642408
CNP0413252.6,-13.318,-12.665493
CNP0413252.7,-11.906,-12.535637
CNP0413252.8,-12.612,-12.517761
CNP0413252.9,-12.414,-12.487581
CNP0413769.2,-12.285,-12.599454
CNP0413769.3,-13.832,-12.485395
CNP0414994.1,-12.867,-12.59883
CNP0417684.1,-13.01,-12.829426
CNP0417684.2,-11.784,-12.890658
CNP0418012.1,-12.099,-12.522721
CNP0418012.2,-12.166,-12.506306
CNP0418992.1,-12.336,-12.590629
CNP0420705.1,-13.221,-12.824021
CNP0424077.1,-14.42,-12.493682
CNP0424393.1,-12.851,-12.813673
CNP0424583.1,-10.725,-12.9068575
CNP0427395.1,-13.703,-12.5385475
CNP0427510.1,-14.156,-12.583091
CNP0429931.1,-14.178,-12.663197
CNP0430564.1,-10.934,-12.853969
CNP0430708.1,-14.261,-12.530663
CNP0431091.1,-12.633,-12.934033
CNP0436073.1,-14.473,-12.702345
CNP0437649.1,-11.904,-12.728884
CNP0439266.1,-13.649,-12.709277
CNP0439266.2,-13.443,-12.667098
CNP0443759.1,-15.765,-12.490199
CNP0455691.1,-13.517,-12.707972
CNP0461379.1,-13.162,-12.659895
CNP0461379.2,-13.926,-12.645111
CNP0480210.1,-14.034,-12.780005
CNP0481710.1,-14.229,-12.574086
CNP0481710.2,-14.229,-12.705865
CNP0484741.1,-13.859,-12.592866
CNP0484741.2,-14.428,-12.811974
CNP0486176.1,-14.438,-12.721305
CNP0490429.1,-12.223,-12.490407
CNP0493932.1,-13.566,-12.6497345
CNP0495063.1,-12.846,-12.555872
CNP0496129.1,-14.721,-12.481359
CNP0497568.1,-12.836,-12.584107
CNP0508227.1,-12.411,-12.5446615
CNP0515158.1,-14.818,-12.610732
CNP0515535.1,-13.847,-12.87781
CNP0518218.1,-11.975,-12.682837
CNP0524073.2,-12.653,-12.577114
CNP0528149.1,-12.592,-12.667926
CNP0528372.1,-14.513,-12.766198
CNP0529618.1,-14.327,-12.494859
CNP0531412.1,-13.091,-12.902454
CNP0531412.2,-13.603,-12.746701
CNP0531993.1,-11.848,-12.647986
CNP0534862.1,-14.406,-12.594437
CNP0535248.1,-10.913,-12.691273
CNP0535248.2,-11.791,-12.67403
CNP0538100.1,-12.188,-12.629652
CNP0539545.1,-10.713,-12.705487
CNP0540933.1,-12.024,-12.479283
CNP0545248.1,-13.918,-12.648933
CNP0547899.0,-12.32,-12.5269985
CNP0548649.1,-14.098,-12.857441
CNP0548649.2,-13.899,-12.723264
CNP0549660.1,-14.551,-12.727562
CNP0549660.2,-14.34,-12.820843
CNP0552121.1,-13.105,-12.697849
CNP0552121.2,-13.566,-12.857029
CNP0557905.1,-11.615,-12.526928
CNP0560411.1,-12.637,-12.474866
CNP0561828.1,-13.417,-12.525253
CNP0564211.1,-12.273,-12.8167515
CNP0569620.1,-13.737,-12.906339
CNP0569620.2,-12.965,-12.831862
CNP0572972.1,-13.848,-12.827302
CNP0572972.2,-13.514,-12.692732
CNP0572972.3,-12.427,-12.786613
CNP0572972.4,-12.215,-12.855476
CNP0576093.1,-14.602,-12.48921
CNP0576093.2,-13.775,-12.743229
CNP0579111.1,-13.97,-12.820181
CNP0582361.1,-14.297,-12.757457
CNP0582361.2,-13.101,-12.540741
CNP0586463.0,-13.228,-12.939731
CNP0586769.2,-13.819,-12.695317
CNP0588664.1,-13.214,-12.85048
CNP0589980.1,-14.605,-12.698196
CNP0590390.1,-12.699,-12.599052
CNP0590724.1,-14.495,-12.6957445
CNP0590724.2,-15.149,-12.729576
CNP0591331.1,-12.077,-12.62527
CNP0597014.1,-12.261,-12.504814
CNP0599667.1,-13.607,-12.836953
CNP0600437.0,-12.923,-12.536968
CNP0601335.1,-11.362,-12.514979
CNP0601926.1,-13.16,-12.630732
CNP0604312.1,-13.269,-12.517795
CNP0604312.2,-13.076,-12.695482
