cluster,identifier,Score
568,CNP0229482.1,-8.5
569,CNP0465496.1,-8.5
570,CNP0209077.2,-7.3
571,CNP0183532.1,-5.9
572,CNP0075834.9,-8.2
573,CNP0450218.1,
574,CNP0498746.1,-7.3
575,CNP0600834.1,-6.6
576,CNP0115822.2,-7.9
577,CNP0593610.1,-7.1
578,CNP0222135.4,-9.4
579,CNP0163696.1,-8.1
580,CNP0533377.1,-9.2
581,CNP0516219.1,-7.8
582,CNP0532225.2,-6.1
583,CNP0388159.2,-9.9
584,CNP0605510.1,-6.8
585,CNP0606626.1,-7.0
586,CNP0302532.1,-10.0
587,CNP0453174.1,-8.5
588,CNP0122844.3,-9.3
589,CNP0153939.3,-6.8
590,CNP0088736.1,-8.3
591,CNP0517898.1,-6.2
592,CNP0569715.1,-6.2
593,CNP0178144.3,-9.9
594,CNP0188482.8,-10.7
595,CNP0192382.43,-11.0
596,CNP0250445.1,-9.8
597,CNP0247918.1,-10.2
598,CNP0365067.1,-7.1
599,CNP0293791.2,-8.6
600,CNP0550433.1,-9.5
601,CNP0425790.2,-8.6
602,CNP0502947.1,-6.0
603,CNP0528417.1,-10.6
604,CNP0528460.4,-9.0
605,CNP0056084.0,-8.8
606,CNP0189212.2,-9.5
607,CNP0303376.1,-5.8
608,CNP0330258.1,-9.0
609,CNP0316152.1,-5.3
610,CNP0368013.0,-3.3
611,CNP0586437.1,-6.6
612,CNP0485020.1,
613,CNP0344179.1,-8.8
614,CNP0562927.1,-5.4
615,CNP0265411.1,-9.1
616,CNP0492015.1,-6.7
617,CNP0093394.1,-11.0
618,CNP0370592.1,-10.3
619,CNP0303240.1,-8.3
620,CNP0155718.1,-10.6
621,CNP0209445.1,-5.8
622,CNP0350503.0,-8.3
623,CNP0567013.1,-11.3
624,CNP0254593.1,-11.3
625,CNP0489792.1,-5.7
626,CNP0209317.2,-10.0
627,CNP0376140.3,-8.5
628,CNP0077721.1,-7.8
629,CNP0418325.2,-8.2
630,CNP0147379.5,-9.6
631,CNP0192758.4,-6.5
632,CNP0156584.4,-9.3
633,CNP0227407.1,-10.6
634,CNP0596665.1,-7.4
635,CNP0359445.0,-9.2
636,CNP0193019.1,-9.0
637,CNP0479096.1,-10.3
638,CNP0489393.1,
639,CNP0482194.1,-6.3
640,CNP0483471.1,-6.7
641,CNP0411111.1,-10.0
642,CNP0107058.1,-5.5
643,CNP0286381.2,-10.1
644,CNP0195318.1,-9.5
645,CNP0551219.1,-4.8
646,CNP0591136.1,-6.4
647,CNP0083057.0,-6.3
648,CNP0111850.0,-4.4
649,CNP0504055.1,-6.0
650,CNP0580998.2,-6.1
651,CNP0576199.1,-6.8
652,CNP0196723.6,-11.3
653,CNP0595776.1,-6.6
654,CNP0583336.1,-6.1
655,CNP0145699.1,-9.856
656,CNP0557543.1,-6.262
657,CNP0491104.1,-6.444
658,CNP0108528.17,-8.436
659,CNP0121025.2,-12.17
660,CNP0311708.1,-9.8
661,CNP0543092.1,-6.0
662,CNP0317712.1,-9.1
663,CNP0435227.1,-10.3
664,CNP0531900.0,-10.6
665,CNP0262684.2,-9.7
666,CNP0526153.1,-10.4
667,CNP0250756.19,-8.2
668,CNP0145020.1,-9.8
669,CNP0578313.1,-7.0
670,CNP0225700.3,-7.7
671,CNP0389245.3,-7.4
672,CNP0572752.1,-6.7
673,CNP0563176.1,-6.4
674,CNP0536396.0,-8.6
675,CNP0417822.2,-7.0
676,CNP0319089.1,-8.5
677,CNP0134701.2,-7.5
678,CNP0203618.2,-9.7
679,CNP0224055.1,-9.2
680,CNP0381263.1,-8.6
681,CNP0097388.2,-8.1
682,CNP0235916.1,-9.1
683,CNP0163147.1,-9.1
684,CNP0103668.2,-8.1
685,CNP0314410.1,-7.5
686,CNP0429604.1,-10.0
687,CNP0161503.1,-10.4
688,CNP0126206.1,-9.0
689,CNP0220153.1,-10.5
690,CNP0212255.7,-10.3
691,CNP0464550.1,-8.5
692,CNP0115696.1,-8.8
