cluster,identifier,Score
280,CNP0585733.1,-5.6
281,CNP0517931.2,-6.3
282,CNP0555761.1,-5.2
283,CNP0528137.2,-6.9
284,CNP0537643.1,-6.2
285,CNP0479956.2,-5.8
286,CNP0277858.2,-7.0
287,CNP0550534.2,-6.9
288,CNP0544053.1,-7.0
289,CNP0533094.1,-6.1
290,CNP0547547.0,-9.38
291,CNP0496841.1,-5.274
292,CNP0589862.2,-5.699
293,CNP0540422.2,-6.462
294,CNP0560698.1,
295,CNP0545198.1,-6.7
296,CNP0570554.1,-6.2
297,CNP0428678.1,-12.9
298,CNP0549275.1,-6.1
299,CNP0534466.1,-6.2
300,CNP0496115.1,-6.7
301,CNP0520450.2,-6.8
302,CNP0522021.2,-6.7
303,CNP0506506.1,-11.4
304,CNP0537558.1,-5.8
305,CNP0545566.2,-7.0
306,CNP0595779.1,-6.2
307,CNP0524532.1,-6.4
308,CNP0482505.1,-6.4
309,CNP0529505.1,-6.6
310,CNP0593132.2,-5.0
311,CNP0576474.1,-6.2
312,CNP0341214.0,-5.7
313,CNP0082389.2,-6.9
314,CNP0388797.2,-8.8
315,CNP0335519.0,-5.7
316,CNP0078903.0,-8.7
317,CNP0061174.3,-7.0
318,CNP0252230.1,-11.2
319,CNP0169958.0,-3.8
320,CNP0121515.0,-5.3
321,CNP0154007.1,-9.0
322,CNP0314632.1,-10.6
323,CNP0285010.1,-10.0
324,CNP0335311.3,-8.1
325,CNP0556210.1,-9.9
326,CNP0079515.1,-10.8
327,CNP0426822.3,-7.6
328,CNP0516892.3,-10.8
329,CNP0287427.17,-7.2
330,CNP0573388.2,-10.3
331,CNP0325148.3,-11.1
332,CNP0287263.2,-10.3
333,CNP0507423.3,-10.2
334,CNP0306674.1,-8.6
335,CNP0174859.21,-9.6
336,CNP0181704.0,-8.9
337,CNP0359354.9,-8.2
338,CNP0527586.1,-8.8
339,CNP0332743.1,-10.2
340,CNP0541945.2,-6.7
341,CNP0538670.1,-7.5
342,CNP0524485.2,-8.9
343,CNP0450353.1,-9.5
344,CNP0224085.11,-7.8
345,CNP0191023.1,-9.9
346,CNP0583216.4,-9.7
347,CNP0267074.1,-7.3
348,CNP0094762.1,-9.9
349,CNP0478145.1,-10.4
350,CNP0424830.1,-10.6
351,CNP0401843.1,-9.3
352,CNP0455272.2,-8.0
353,CNP0197753.2,-8.1
354,CNP0544536.1,-11.1
355,CNP0039572.1,
356,CNP0105416.1,-14.7
357,CNP0449682.1,-10.8
358,CNP0159441.4,-11.4
359,CNP0093837.1,-9.6
360,CNP0588379.1,-9.8
361,CNP0501331.2,-9.7
362,CNP0319645.1,
363,CNP0119374.4,-6.3
364,CNP0494840.0,-5.8
365,CNP0446585.7,-9.8
366,CNP0210741.2,-7.8
367,CNP0404767.0,-10.8
368,CNP0261187.1,-9.9
369,CNP0070285.2,-9.6
370,CNP0058565.1,-9.9
371,CNP0475375.2,-9.7
372,CNP0359323.4,-8.1
373,CNP0176259.0,-10.1
374,CNP0327171.1,-8.8
375,CNP0171527.1,-11.3
376,CNP0433915.1,-8.7
377,CNP0203852.1,-7.9
378,CNP0569347.2,-8.7
379,CNP0535827.1,-10.4
380,CNP0563948.1,-9.648
381,CNP0450916.3,-9.451
382,CNP0115180.1,
383,CNP0075480.1,-10.98
