outer_fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,inner_rmse
1,0.8,0.03,3,5,500,5,1.0,0.6210440172689136
1,0.8,0.03,3,5,500,5,1.0,0.6544877918121345
1,0.8,0.03,3,5,500,5,1.0,0.6401471565996513
1,0.8,0.03,6,1,100,1,0.8,0.6297009635920823
1,0.8,0.03,6,1,100,1,0.8,0.6577683866789723
1,0.8,0.03,6,1,100,1,0.8,0.6401692981069808
1,0.8,0.03,6,1,100,1,1.0,0.6297955164863143
1,0.8,0.03,6,1,100,1,1.0,0.6590865439308784
1,0.8,0.03,6,1,100,1,1.0,0.6377861434685019
1,0.8,0.03,6,1,100,5,0.8,0.632267273581878
1,0.8,0.03,6,1,100,5,0.8,0.6658178517842298
1,0.8,0.03,6,1,100,5,0.8,0.6457692557408756
1,0.8,0.03,6,1,100,5,1.0,0.6349192981927251
1,0.8,0.03,6,1,100,5,1.0,0.6621544131047559
1,0.8,0.03,6,1,100,5,1.0,0.6455117681192861
1,0.8,0.03,6,1,300,1,0.8,0.5976429729143711
1,0.8,0.03,6,1,300,1,0.8,0.6146769431356756
1,0.8,0.03,6,1,300,1,0.8,0.608954647633377
1,0.8,0.03,6,1,300,1,1.0,0.6000909721030795
1,0.8,0.03,6,1,300,1,1.0,0.6161177658748361
1,0.8,0.03,6,1,300,1,1.0,0.610850509448937
1,0.8,0.03,6,1,300,5,0.8,0.5954666478360822
1,0.8,0.03,6,1,300,5,0.8,0.615963999932482
1,0.8,0.03,6,1,300,5,0.8,0.6071251237547045
1,0.8,0.03,6,1,300,5,1.0,0.5991850535821325
1,0.8,0.03,6,1,300,5,1.0,0.6169087921065262
1,0.8,0.03,6,1,300,5,1.0,0.614437325202189
1,0.8,0.03,6,1,500,1,0.8,0.5951097044898677
1,0.8,0.03,6,1,500,1,0.8,0.6093484825435279
1,0.8,0.03,6,1,500,1,0.8,0.6037297635165041
1,0.8,0.03,6,1,500,1,1.0,0.5969359858301909
1,0.8,0.03,6,1,500,1,1.0,0.6116634497136284
1,0.8,0.03,6,1,500,1,1.0,0.6074535160474903
1,0.8,0.03,6,1,500,5,0.8,0.5916600238224333
1,0.8,0.03,6,1,500,5,0.8,0.608856451403059
1,0.8,0.03,6,1,500,5,0.8,0.599982434507089
1,0.8,0.03,6,1,500,5,1.0,0.5952807518727137
1,0.8,0.03,6,1,500,5,1.0,0.6126286701923819
1,0.8,0.03,6,1,500,5,1.0,0.6079853597836872
1,0.8,0.03,6,5,100,1,0.8,0.6276798324473405
1,0.8,0.03,6,5,100,1,0.8,0.657605714352955
1,0.8,0.03,6,5,100,1,0.8,0.6388301974502801
1,0.8,0.03,6,5,100,1,1.0,0.6297294583967359
1,0.8,0.03,6,5,100,1,1.0,0.6589711300996632
1,0.8,0.03,6,5,100,1,1.0,0.6386761873812603
1,0.8,0.03,6,5,100,5,0.8,0.6313426342758519
1,0.8,0.03,6,5,100,5,0.8,0.6654027134167912
1,0.8,0.03,6,5,100,5,0.8,0.6473101482645336
1,0.8,0.03,6,5,100,5,1.0,0.6343716310811058
1,0.8,0.03,6,5,100,5,1.0,0.6612687638399226
1,0.8,0.03,6,5,100,5,1.0,0.6464329636188181
1,0.8,0.03,6,5,300,1,0.8,0.5970556245970674
1,0.8,0.03,6,5,300,1,0.8,0.6138987360143005
1,0.8,0.03,6,5,300,1,0.8,0.6078861374180826
1,0.8,0.03,6,5,300,1,1.0,0.5984347012190981
1,0.8,0.03,6,5,300,1,1.0,0.6194642781940365
1,0.8,0.03,6,5,300,1,1.0,0.6097107258811578
1,0.8,0.03,6,5,300,5,0.8,0.5951399783816133
1,0.8,0.03,6,5,300,5,0.8,0.617564901936799
1,0.8,0.03,6,5,300,5,0.8,0.6086395062630144
1,0.8,0.03,6,5,300,5,1.0,0.5968819541319169
1,0.8,0.03,6,5,300,5,1.0,0.6152317977817802
1,0.8,0.03,6,5,300,5,1.0,0.6138286770374244
1,0.8,0.03,6,5,500,1,0.8,0.5949644848850595
1,0.8,0.03,6,5,500,1,0.8,0.6069750335741255
1,0.8,0.03,6,5,500,1,0.8,0.6030743836493059
1,0.8,0.03,6,5,500,1,1.0,0.5961764594811653
1,0.8,0.03,6,5,500,1,1.0,0.6145211887203433
1,0.8,0.03,6,5,500,1,1.0,0.6060698696675126
1,0.8,0.03,6,5,500,5,0.8,0.5919031199396972
1,0.8,0.03,6,5,500,5,0.8,0.6108102940225226
1,0.8,0.03,6,5,500,5,0.8,0.6026826523916894
1,0.8,0.03,6,5,500,5,1.0,0.5937413058980787
1,0.8,0.03,6,5,500,5,1.0,0.6093294693290626
1,0.8,0.03,6,5,500,5,1.0,0.6075568168005574
1,0.8,0.1,3,1,100,1,0.8,0.6356091493989527
